기업명,인증연도,분야
동성아스콘,2022,폐요업
대흥환경산업,2022,폐요업
포항아스콘,2023,폐요업
태창산업,2023,폐요업
알앤텍,2023,폐플라스틱
알앤이 1공장,2023,폐플라스틱
현창기업 의왕공장,2023,폐요업
인테크,2023,폐플라스틱
농업회사법인 새솔바이오,2023,유기성폐기물
바나,2023,폐요업
대덕산업,2023,폐요업
대주아스콘,2023,폐요업
현해케미칼,2023,폐플라스틱
이에스알산업,2023,폐플라스틱
이에스알산업,2023,폐플라스틱
휴인텍,2023,폐섬유
현대엘앤씨 엘텍세종사업장,2023,폐플라스틱
"디에스아스콘
서부아스콘 부안공장",2023,폐요업
서부아스콘 익산공장,2023,폐요업
OK아스콘,2023,폐요업
한국철강,2023,폐금속
우성산업개발,2023,폐요업
인성에이엔티 인천공장,2023,폐요업
한솔홈데코 익산공장,2023,폐목재
전주페이퍼,2011,폐지
경서아스콘,2023,폐요업
한국특강,2023,폐금속
현대제철,2023,폐금속
에코로,2023,폐목재
환영철강공업,2023,폐금속
의성그린에너지,2023,폐수처리오니
디케이유업,2023,폐유
창명산업,2023,폐요업
성보아스콘,2023,폐요업
일우피피씨 충북지점,2023,폐요업
미래개발,2023,폐요업
윤성알엠씨 고령지점,2023,폐요업
코단에코크리트 원주지점,2023,폐요업
한국아스콘,2023,폐요업
삼성환경건설,2023,폐요업
벽산 홍성 제2공장,2023,폐유리
백진환경,2023,폐요업
이에스알산업,2024,폐플라스틱
현대환경,2024,폐요업
금산씨알에이,2024,폐요업
인성에이앤티,2024,폐요업
동일산업,2024,폐요업
대왕,2024,폐요업
공영사,2024,폐요업
창주산업,2024,폐요업
세아산업 약목,2024,폐요업
중산현대,2024,폐요업
유모아아스콘,2024,폐요업
태인,2024,폐요업
성경,2024,폐요업
호경 완주지점,2024,폐요업
