기업명,시작,종료
대성골재 아스콘지점,2021-03-29,2024-03-28
경북환경,2021-03-29,2024-03-28
신라아스콘,2021-03-29,2024-03-28
태인,2021-05-28,2024-05-27
도원환경,2021-05-28,2024-05-27
화신아스콘,2021-05-28,2024-05-27
미래개발 ,2021-05-28,2024-05-27
영농조합법인 자연바이오,2021-06-28,2024-06-27
국일제지 아산공장,2021-06-28,2024-06-27
주안아스콘,2021-07-30,2024-07-29
세종아스콘,2021-07-30,2024-07-29
금산환경재생산업,2021-07-30,2024-07-29
공단레미콘,2021-07-30,2024-07-29
공단레미콘아스콘,2021-07-30,2024-07-29
대화아스콘,2021-07-30,2024-07-29
대한한옥개발,2021-07-30,2024-07-29
대덕아스콘환경,2021-08-31,2024-08-30
대전아스콘,2021-08-31,2024-08-30
연산아스콘,2021-08-31,2024-08-30
케이씨그린에너지,2021-08-31,2024-08-30
수이노베이션,2021-08-31,2024-08-30
대한실업 성주지점,2021-10-01,2024-09-30
대한실업 성주지점,2021-10-01,2024-09-30
동국제강 인천공장,2021-10-28,2024-10-27
동국제강 봉강공장,2021-10-28,2024-10-27
동국제강 ,2021-10-28,2024-10-27
대광아스콘,2021-10-28,2024-10-27
인천아스콘,2021-10-28,2024-10-27
세진플러스,2021-10-28,2024-10-27
광명화학공업사,2021-11-30,2024-11-29
이에스알산업,2021-11-30,2024-11-29
가나실업,2021-11-30,2024-11-29
깨끗한나라 청주공장,2021-11-30,2024-11-29
깨끗한나라 청주공장,2021-11-30,2024-11-29
대림,2021-11-30,2024-11-29
신호정유,2021-11-30,2024-11-29
덕은인터라인정유,2021-11-30,2024-11-29
대한제강 녹산공장,2021-12-24,2024-12-23
대한제강 신평공장,2021-12-24,2024-12-23
대한제강 평택공장,2021-12-24,2024-12-23
와이케이스틸,2021-12-24,2024-12-23
포스코 포항제철소,2021-12-24,2024-12-23
포스코 포항제철소,2021-12-24,2024-12-23
청해광업,2022-01-25,2025-01-24
부일레미콘,2022-01-25,2025-01-24
아산아스콘,2022-03-07,2025-03-06
누보켐 검단,2022-04-05,2025-04-04
창주산업,2022-04-05,2025-04-04
원전기업,2022-04-05,2025-04-04
홍익휴먼스,2022-04-05,2025-04-04
현대제철 인천공장,2022-04-05,2025-04-04
현대제철 인천공장,2022-04-05,2025-04-04
현대제철 포항1공장,2022-04-05,2025-04-04
현대제철 포항1공장,2022-04-05,2025-04-04
현대제철 포항2공장,2022-04-05,2025-04-04
현대제철 포항2공장,2022-04-05,2025-04-04
클린코리아 안강공장,2022-04-05,2025-04-04
세일정유,2022-04-05,2025-04-04
더원,2022-04-05,2025-04-04
누보켐 인천,2022-05-03,2025-05-02
누보켐 검단,2022-05-03,2025-05-02
삼강아스콘,2022-05-03,2025-05-02
드림아스콘,2022-05-03,2025-05-02
인천테크,2022-05-03,2025-05-02
승진그린텍,2022-05-03,2025-05-02
대신피씨티,2022-06-07,2025-06-06
검단아스콘,2022-06-07,2025-06-06
동국제강 인천공장,2022-07-05,2025-07-04
공주의당아스콘,2022-07-05,2025-07-04
대화,2022-07-05,2025-07-04
도형,2022-07-05,2025-07-04
현대제철 포항1공장,2022-07-25,2025-07-24
현대제철 포항1공장,2022-07-25,2025-07-24
현대제철 포항2공장,2022-07-25,2025-07-24
현대제철 인천공장,2022-07-25,2025-07-24
새빗켐 2공장,2022-07-25,2025-07-24
성신씨엠,2022-08-25,2025-08-24
한국제강,2022-08-25,2025-08-24
유림테크,2022-08-25,2025-08-24
대원인프라,2022-08-25,2025-08-24
동아개발,2022-08-25,2025-08-24
이앤티,2022-09-29,2025-09-28
이에스알산업,2022-09-29,2025-09-28
현대엘앤씨 엘텍세종사업장,2022-09-29,2025-09-28
승일아스콘,2022-10-25,2025-10-24
부림산기,2022-10-25,2025-10-24
동국제강 ,2022-11-08,2025-11-07
동국제강 ,2022-11-08,2025-11-07
동국제강 ,2022-11-08,2025-11-07
알앤이 1공장,2022-11-08,2025-11-07
알앤이 옥산공장,2022-11-08,2025-11-07
시경아스콘,2022-11-08,2025-11-07
