기업명,인증연도,리콜종류,label
와우트레이딩컴퍼니,2023.0,명령에따른리콜,
아이비케어,2023.0,자발적리콜,
현주무역,2023.0,자발적리콜,
나눅스네트웍스,2023.0,자발적리콜,
나눅스네트웍스,2021.0,자발적리콜,
나눅스네트웍스,2018.0,자발적리콜,
나눅스네트웍스,2017.0,자발적리콜,
아성,2023.0,자발적리콜,
아성,2021.0,명령에따른리콜,
아성,2019.0,명령에따른리콜,
바스존,2023.0,자발적리콜,
6형제바둑,2023.0,자발적리콜,
레이트,2023.0,명령에따른리콜,
쿠팡,2023.0,명령에따른리콜,
쿠팡,2023.0,명령에따른리콜,
인까사,2023.0,명령에따른리콜,
삼성에스티에스,2023.0,명령에따른리콜,
한유스포츠,2023.0,명령에따른리콜,
케어맥스,2023.0,명령에따른리콜,
라이더스타일,2023.0,명령에따른리콜,
지플러스,2023.0,명령에따른리콜,
대세엠.케어,2023.0,명령에따른리콜,
대세엠.케어,2022.0,명령에따른리콜,
대세엠.케어,2013.0,명령에따른리콜,
일상생활연구소,2023.0,명령에따른리콜,
써밋코퍼레이션,2023.0,명령에따른리콜,
레츠원,2023.0,명령에따른리콜,
명문인터내셔날,2023.0,명령에따른리콜,
보냄,2023.0,명령에따른리콜,
이노럭스,2023.0,명령에따른리콜,
로와로운컴퍼니,2023.0,명령에따른리콜,
이정가구,2023.0,명령에따른리콜,
홈앤픽,2023.0,명령에따른리콜,
홈앤픽,2023.0,명령에따른리콜,
마켓비,2023.0,명령에따른리콜,
마켓비,2019.0,명령에따른리콜,
이펙스,2023.0,명령에따른리콜,
이펙스,2023.0,명령에따른리콜,
모토벨로,2023.0,명령에따른리콜,
다음네트웍스,2023.0,명령에따른리콜,
다음네트웍스,2021.0,명령에따른리콜,
이홀딩스,2023.0,명령에따른리콜,
나노휠,2023.0,명령에따른리콜,
나노휠,2018.0,명령에따른리콜,
나노휠,2018.0,명령에따른리콜,
나노휠,2017.0,명령에따른리콜,
엔투셀,2023.0,명령에따른리콜,
수이스포츠,2023.0,명령에따른리콜,
베이비파크(cosomkorea),2023.0,명령에따른리콜,
비앤씨,2023.0,명령에따른리콜,
비앤씨,2022.0,명령에따른리콜,
비앤씨,2022.0,명령에따른리콜,
비앤씨,2021.0,명령에따른리콜,
비앤씨,2021.0,명령에따른리콜,
비앤씨,2021.0,명령에따른리콜,
비앤씨,2021.0,명령에따른리콜,
비앤씨,2020.0,명령에따른리콜,
비앤씨,2019.0,명령에따른리콜,
비앤씨,2018.0,명령에따른리콜,
비앤씨,2016.0,명령에따른리콜,
비앤씨,2016.0,명령에따른리콜,
동명,2023.0,명령에따른리콜,
동명,2022.0,명령에따른리콜,
동명,2020.0,명령에따른리콜,
토이플러스,2023.0,명령에따른리콜,
김군기획,2023.0,명령에따른리콜,
치프몰,2023.0,명령에따른리콜,
에스오엠,2023.0,명령에따른리콜,
비씨토이,2023.0,명령에따른리콜,
청춘,2023.0,명령에따른리콜,
나노코앤씨,2023.0,명령에따른리콜,
제이투스포츠,2023.0,명령에따른리콜,
제이투스포츠,2021.0,명령에따른리콜,
제이투스포츠,2018.0,명령에따른리콜,
오브맘코리아컴퍼니,2023.0,명령에따른리콜,
오브맘코리아컴퍼니,2020.0,명령에따른리콜,
꼬마꼬야,2023.0,명령에따른리콜,
베네베네,2023.0,명령에따른리콜,
거목인터내셔날,2023.0,명령에따른리콜,
거목인터내셔날,2021.0,명령에따른리콜,
엠베이비,2023.0,명령에따른리콜,
디자인블레스,2023.0,명령에따른리콜,
루나,2023.0,명령에따른리콜,
엑시코,2023.0,명령에따른리콜,
엑시코,2015.0,명령에따른리콜,
엑시코,2015.0,명령에따른리콜,
엑시코,2015.0,자발적리콜,
나라스포츠,2023.0,명령에따른리콜,
비유(BEEU),2023.0,명령에따른리콜,
허그미코리아,2023.0,명령에따른리콜,
트리즈,2023.0,명령에따른리콜,
트리즈,2023.0,명령에따른리콜,
트리즈,2023.0,명령에따른리콜,
체어스코,2023.0,명령에따른리콜,
유온디자인,2023.0,명령에따른리콜,
사운드트렌드,2023.0,명령에따른리콜,
코멕티엔씨,2023.0,명령에따른리콜,
콩디,2023.0,명령에따른리콜,
아이티티팩토리,2023.0,명령에따른리콜,
소소한빛,2023.0,명령에따른리콜,
이엔코리아,2023.0,명령에따른리콜,
위드네임,2023.0,명령에따른리콜,
송풍조명,2023.0,명령에따른리콜,
송풍조명,2021.0,명령에따른리콜,
서진전선,2023.0,명령에따른리콜,
한일테크,2023.0,명령에따른리콜,
한일테크,2020.0,명령에따른리콜,
한일테크,2018.0,명령에따른리콜,
한일테크,2017.0,명령에따른리콜,
성림GS,2023.0,명령에따른리콜,
성림GS,2022.0,명령에따른리콜,
성림GS,2017.0,명령에따른리콜,
국제산전,2023.0,명령에따른리콜,
이월드,2023.0,명령에따른리콜,
에스와이컨텍,2023.0,명령에따른리콜,
신성전기산업,2023.0,명령에따른리콜,
신성전기산업,2023.0,명령에따른리콜,
신성전기산업,2022.0,명령에따른리콜,
동양특수공구,2023.0,명령에따른리콜,
도경LED,2023.0,명령에따른리콜,
도경LED,2018.0,명령에따른리콜,
도경LED,2015.0,명령에따른리콜,
멘토,2023.0,명령에따른리콜,
에코아이,2023.0,명령에따른리콜,
에코아이,2017.0,명령에따른리콜,
에코아이,2015.0,자발적리콜,
대신전기산업,2023.0,명령에따른리콜,
대신전기산업,2018.0,명령에따른리콜,
카피어랜드,2023.0,명령에따른리콜,
카피어랜드,2021.0,자발적리콜,
한국레노버유한회사,2023.0,자발적리콜,
한국레노버유한회사,2018.0,자발적리콜,
한국레노버유한회사,2018.0,자발적리콜,
한국레노버유한회사,2015.0,자발적리콜,
한국레노버유한회사,2014.0,자발적리콜,
한국레노버유한회사,2014.0,자발적리콜,
더그레이문,2023.0,명령에따른리콜,
앤커이노베이션코리아,2023.0,자발적리콜,
구니카,2023.0,자발적리콜,
구니카,2020.0,자발적리콜,
부가부코리아,2023.0,자발적리콜,
부가부코리아,2013.0,자발적리콜,
H&M헤네스앤모리츠,2023.0,자발적리콜,
H&M헤네스앤모리츠,2014.0,자발적리콜,
레고랜드코리아유한회사,2023.0,명령에따른리콜,
아진통상,2023.0,명령에따른리콜,
굿데이즈,2023.0,명령에따른리콜,
이지아이온,2023.0,명령에따른리콜,
씨케이,2023.0,명령에따른리콜,
씨케이,2018.0,명령에따른리콜,
씨케이,2018.0,명령에따른리콜,
더조은,2023.0,명령에따른리콜,
시엘,2023.0,명령에따른리콜,
루미,2023.0,명령에따른리콜,
해락유한책임회사,2023.0,명령에따른리콜,
해락유한책임회사,2019.0,명령에따른리콜,
세파스,2023.0,자발적리콜,
세파스,2022.0,자발적리콜,
세파스,2021.0,자발적리콜,
세기에이치이,2023.0,자발적리콜,
세기에이치이,2019.0,자발적리콜,
세기에이치이,2018.0,자발적리콜,
하이얼전자판매,2023.0,자발적리콜,
피셔코리아,2023.0,자발적리콜,
미쉐린코리아,2023.0,자발적리콜,
좋은제이이시,2023.0,명령에따른리콜,
헬퍼몰,2023.0,명령에따른리콜,
투월드(TWOWORLD),2023.0,명령에따른리콜,
위드코리아,2023.0,명령에따른리콜,
디코커머스,2023.0,명령에따른리콜,
피플펫,2023.0,명령에따른리콜,
지오닉스스포츠,2023.0,명령에따른리콜,
지오닉스스포츠,2022.0,명령에따른리콜,
지오닉스스포츠,2020.0,명령에따른리콜,
에잇리젠드,2023.0,명령에따른리콜,
뉴월드토이,2023.0,명령에따른리콜,
뉴월드토이,2014.0,명령에따른리콜,
뉴월드토이,2014.0,명령에따른리콜,
유경산업,2023.0,명령에따른리콜,
토탈매트,2023.0,명령에따른리콜,
대승아이앤피,2023.0,명령에따른리콜,
매트랜드,2023.0,명령에따른리콜,
매트랜드,2021.0,명령에따른리콜,
우리STM,2023.0,명령에따른리콜,
우리STM,2022.0,명령에따른리콜,
우리STM,2022.0,명령에따른리콜,
라이카미,2023.0,명령에따른리콜,
엘스엘지티,2023.0,명령에따른리콜,
재미존,2023.0,명령에따른리콜,
재미존,2019.0,명령에따른리콜,
재미존,2018.0,명령에따른리콜,
재미존,2018.0,명령에따른리콜,
재미존,2018.0,명령에따른리콜,
파이,2023.0,명령에따른리콜,
비바스포츠,2023.0,명령에따른리콜,
비바스포츠,2021.0,명령에따른리콜,
비바스포츠,2018.0,명령에따른리콜,
토도리브로,2023.0,명령에따른리콜,
매직큐브,2023.0,명령에따른리콜,
한국교육시스템,2023.0,명령에따른리콜,
한국교육시스템,2021.0,명령에따른리콜,
한국교육시스템,2021.0,명령에따른리콜,
한국교육시스템,2018.0,명령에따른리콜,
한국교육시스템,2018.0,명령에따른리콜,
한국교육시스템,2018.0,명령에따른리콜,
한국교육시스템,2018.0,명령에따른리콜,
한국교육시스템,2018.0,명령에따른리콜,
한국교육시스템,2018.0,명령에따른리콜,
한국교육시스템,2018.0,명령에따른리콜,
한국교육시스템,2018.0,명령에따른리콜,
한국교육시스템,2012.0,자발적리콜,
학산문화사,2023.0,명령에따른리콜,
지오인포테크이노베이션,2023.0,명령에따른리콜,
알톤스포츠,2023.0,명령에따른리콜,
알톤스포츠,2023.0,자발적리콜,
알톤스포츠,2022.0,명령에따른리콜,
삼천리자전거,2023.0,명령에따른리콜,
삼천리자전거,2023.0,자발적리콜,
삼천리자전거,2022.0,명령에따른리콜,
삼천리자전거,2022.0,명령에따른리콜,
삼천리자전거,2022.0,명령에따른리콜,
삼천리자전거,2019.0,자발적리콜,
유아용품연구소,2023.0,명령에따른리콜,
이스터무역,2023.0,명령에따른리콜,
제이스타일코리아,2023.0,명령에따른리콜,
제이스타일코리아,2023.0,명령에따른리콜,
제이스타일코리아,2022.0,명령에따른리콜,
제이스타일코리아,2019.0,명령에따른리콜,
제이스타일코리아,2018.0,명령에따른리콜,
제이스타일코리아,2017.0,명령에따른리콜,
이랜드리테일,2023.0,명령에따른리콜,
이랜드리테일,2023.0,명령에따른리콜,
이랜드리테일,2021.0,명령에따른리콜,
이랜드리테일,2019.0,명령에따른리콜,
이랜드리테일,2018.0,명령에따른리콜,
이랜드리테일,2018.0,명령에따른리콜,
이랜드리테일,2017.0,명령에따른리콜,
이랜드리테일,2016.0,명령에따른리콜,
이랜드리테일,2015.0,명령에따른리콜,
이랜드리테일,2013.0,명령에따른리콜,
이랜드리테일,2013.0,명령에따른리콜,
엠케이(MK),2023.0,명령에따른리콜,
더블엔인터내셔널,2023.0,명령에따른리콜,
베이비잼,2023.0,명령에따른리콜,
루루슈,2023.0,명령에따른리콜,
루루슈,2021.0,명령에따른리콜,
비지코퍼레이션,2023.0,명령에따른리콜,
아이즈컴퍼니,2023.0,명령에따른리콜,
아이즈컴퍼니,2023.0,명령에따른리콜,
미리네스,2023.0,명령에따른리콜,
모아존,2023.0,명령에따른리콜,
보니하우스,2023.0,명령에따른리콜,
아이랜드,2023.0,명령에따른리콜,
비단길,2023.0,명령에따른리콜,
비단길,2022.0,명령에따른리콜,
에스와이엠코퍼레이션,2023.0,명령에따른리콜,
윙하우스,2023.0,명령에따른리콜,
윙하우스,2021.0,명령에따른리콜,
윙하우스,2021.0,명령에따른리콜,
윙하우스,2021.0,명령에따른리콜,
윙하우스,2021.0,명령에따른리콜,
윙하우스,2021.0,명령에따른리콜,
윙하우스,2020.0,명령에따른리콜,
윙하우스,2018.0,명령에따른리콜,
윙하우스,2016.0,명령에따른리콜,
윙하우스,2016.0,명령에따른리콜,
키즈스퀘어,2023.0,명령에따른리콜,
지오썬,2023.0,명령에따른리콜,
트로프스,2023.0,명령에따른리콜,
킹카스포츠,2023.0,명령에따른리콜,
킹카스포츠,2020.0,명령에따른리콜,
킹카스포츠,2015.0,명령에따른리콜,
