기업명,인증연도,리콜종류,품목
케어맥스,2023,명령에따른리콜,고령자용 보행보조차(고령자용 보행보조차)
라이더스타일,2023,명령에따른리콜,승차용 안전모(승차용 안전모)
지플러스,2023,명령에따른리콜,승차용 안전모(승차용 안전모)
대세엠.케어,2023,명령에따른리콜,고령자용 보행차(고령자용 보행차)
일상생활연구소,2023,명령에따른리콜,방한용·패션용·스포츠용 마스크(방한용·패션용·스포츠용 마스크)
써밋코퍼레이션,2023,명령에따른리콜,방한용·패션용·스포츠용 마스크(방한용·패션용·스포츠용 마스크)
레츠원,2023,명령에따른리콜,속눈썹 열 성형기(속눈썹 열 성형기)
명문인터내셔날,2023,명령에따른리콜,속눈썹 열 성형기(속눈썹 열 성형기)
보냄,2023,명령에따른리콜,속눈썹 열 성형기(속눈썹 열 성형기)
이노럭스,2023,명령에따른리콜,속눈썹 열 성형기(속눈썹 열 성형기)
로와로운컴퍼니,2023,명령에따른리콜,속눈썹 열 성형기(속눈썹 열 성형기)
이정가구,2023,명령에따른리콜,가구(높이 762mm이상의 가정용 서랍장 및 사무용 파일링 캐비닛에 한정)(가구(높이 762mm이상의 가정용 서랍장 및 사무용 파일링 캐비닛에 한정))
홈앤픽,2023,명령에따른리콜,가구(높이 762mm이상의 가정용 서랍장 및 사무용 파일링 캐비닛에 한정)(가구(높이 762mm이상의 가정용 서랍장 및 사무용 파일링 캐비닛에 한정))
마켓비,2023,명령에따른리콜,가구(높이 762mm이상의 가정용 서랍장 및 사무용 파일링 캐비닛에 한정)(가구(높이 762mm이상의 가정용 서랍장 및 사무용 파일링 캐비닛에 한정))
이펙스,2023,명령에따른리콜,가구(높이 762mm이상의 가정용 서랍장 및 사무용 파일링 캐비닛에 한정)(가구(높이 762mm이상의 가정용 서랍장 및 사무용 파일링 캐비닛에 한정))
모토벨로,2023,명령에따른리콜,전동킥보드(전동보드)
다음네트웍스,2023,명령에따른리콜,전동킥보드(전동보드)
이홀딩스,2023,명령에따른리콜,전동킥보드(전동보드)
나노휠,2023,명령에따른리콜,전동킥보드(전동보드)
엔투셀,2023,명령에따른리콜,방한용·패션용·스포츠용 마스크(방한용·패션용·스포츠용 마스크)
수이스포츠,2023,명령에따른리콜,방한용·패션용·스포츠용 마스크(방한용·패션용·스포츠용 마스크)
베이비파크(cosomkorea),2023,명령에따른리콜,침구류(유섬)(유아용 섬유제품)
비앤씨,2023,명령에따른리콜,미술공예 완구(완구)
동명,2023,명령에따른리콜,모형완구(완구)
토이플러스,2023,명령에따른리콜,미술공예 완구(완구)
김군기획,2023,명령에따른리콜,모형완구(완구)
치프몰,2023,명령에따른리콜,기타완구(작동완구)(완구)
에스오엠,2023,명령에따른리콜,운동완구(완구)
비씨토이,2023,명령에따른리콜,모형완구(완구)
청춘,2023,명령에따른리콜,운동완구(완구)
나노코앤씨,2023,명령에따른리콜,그림물감(학용품)
제이투스포츠,2023,명령에따른리콜,어린이용 자전거(어린이용 자전거)
오브맘코리아컴퍼니,2023,명령에따른리콜,유아용 높은 의자(유아용 의자)
꼬마꼬야,2023,명령에따른리콜,기타완구(작동완구)(완구)
베네베네,2023,명령에따른리콜,유모차(유모차)
거목인터내셔날,2023,명령에따른리콜,유모차(유모차)
엠베이비,2023,명령에따른리콜,보행기(보행기)
디자인블레스,2023,명령에따른리콜,"책상, 탁자(어린이용 가구)"
루나,2023,명령에따른리콜,의자(어린이용 가구)
엑시코,2023,명령에따른리콜,어린이용 인라인 롤러스케이트(어린이용 인라인 롤러스케이트)
나라스포츠,2023,명령에따른리콜,수동식(어린이용 킥보드)
비유(BEEU),2023,명령에따른리콜,어린이용 장신구(어린이용 장신구)
허그미코리아,2023,명령에따른리콜,외의류(아섬)(아동용 섬유제품)
트리즈,2023,명령에따른리콜,가방류(아섬)(아동용 섬유제품)
트리즈,2023,명령에따른리콜,가방류(아섬)(아동용 섬유제품)
체어스코,2023,명령에따른리콜,의자(어린이용 가구)
유온디자인,2023,명령에따른리콜,기타 어린이제품(기타 어린이제품)
사운드트렌드,2023,명령에따른리콜,기타 어린이제품(기타 어린이제품)
코멕티엔씨,2023,명령에따른리콜,기타 어린이제품(기타 어린이제품)
콩디,2023,명령에따른리콜,기타 어린이제품(기타 어린이제품)
아이티티팩토리,2023,명령에따른리콜,기타 어린이제품(기타 어린이제품)
소소한 빛,2023,명령에따른리콜,기타 어린이제품(기타 어린이제품)
이엔코리아,2023,명령에따른리콜,기타 어린이제품(기타 어린이제품)
위드네임,2023,명령에따른리콜,기타 어린이제품(기타 어린이제품)
송풍조명,2023,명령에따른리콜,LED등기구(일반조명기구)
서진전선,2023,명령에따른리콜,"케이블(공칭단면적 95mm2 이하)(전선, 케이블 및 코드류)"
한일테크,2023,명령에따른리콜,가정용 소형변압기(변압기 및 전압조정기)
성림GS,2023,명령에따른리콜,플러그 및 콘센트(전기설비용부속품및연결부품)
국제산전,2023,명령에따른리콜,플러그 및 콘센트(전기설비용부속품및연결부품)
이월드,2023,명령에따른리콜,플러그 및 콘센트(전기설비용부속품및연결부품)
에스와이컨텍,2023,명령에따른리콜,플러그 및 콘센트(전기설비용부속품및연결부품)
신성전기산업,2023,명령에따른리콜,플러그 및 콘센트(전기설비용부속품및연결부품)
동양특수공구,2023,명령에따른리콜,스팀해빙기(전기청소기)
도경LED,2023,명령에따른리콜,LED등기구(일반조명기구)
멘토,2023,명령에따른리콜,"전기찜질기((교)전기찜질기, 발 보온기)"
에코아이,2023,명령에따른리콜,전지(전지)
대신전기산업,2023,명령에따른리콜,전기온장고(전기보온기 및 전기온장고)
카피어랜드,2023,명령에따른리콜,지폐계수기(지폐계수기)
이케아,2023,자발적리콜,욕실 거울
한국레노버 유한회사,2023,자발적리콜,Lenovo Go USB Type-C 노트북 파워 뱅크 20000mAh(블랙)
더그레이문,2023,명령에따른리콜,기타 어린이제품(기타 어린이제품)
앤커이노베이션코리아,2023,자발적리콜,Eufy Clean
구니카,2023,자발적리콜,토들러 타워
부가부코리아,2023,자발적리콜,드래곤플라이
H&M헤네스앤모리츠,2023,자발적리콜,Clasp beaded bracelet
레고랜드코리아 유한회사,2023,명령에따른리콜,모자류(아섬)(아동용 섬유제품)
아진통상,2023,명령에따른리콜,중의류(아섬)(아동용 섬유제품)
굿데이즈,2023,명령에따른리콜,가방류(아섬)(아동용 섬유제품)
이지아이온,2023,명령에따른리콜,유모차(유모차)
씨케이,2023,명령에따른리콜,모형완구(완구)
더조은,2023,명령에따른리콜,방한용·패션용·스포츠용 마스크(방한용·패션용·스포츠용 마스크)
시엘,2023,명령에따른리콜,온열팩(온열팩)
루미,2023,명령에따른리콜,자전거용 안전모(운동용 안전모)
